trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
15,0.724231,none,117,40,8,0.000161833,0.0644304,96.3324
14,0.723199,pca,116,102,63,7.01169e-06,8.90257e-06,85.4119
4,0.72193,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
3,0.720325,none,8,14,12,0.000348887,0.0120364,90.0857
10,0.72018,pca,104,54,38,3.79278e-07,0.00217036,85.9142
11,0.719798,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.719203,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
12,0.715544,pca,85,10,44,0.000395688,3.82855e-06,86.3502
1,0.714467,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.714467,none,83,68,61,3.51536e-07,0.0140192,96.6645
